sample	Prot1-readings	conc.	Prot1-Cal.Con.	Prot1-1	Prot2-readings	conc.	Prot2-Cal.Con.	Prot2-1	Prot3-readings	conc.	Prot3-Cal.Con.	Prot3-1	Prot4-readings	conc.	Prot4-Cal.Con.	Prot4-1	Prot5-readings	conc.	Prot5-Cal.Con.	Prot5-1	Prot6-readings	conc.	Prot6-Cal.Con.	Prot6-1	Prot7-readings	conc.	Prot7-Cal.Con.	Prot7-1	Prot8-readings	conc.	Prot8-Cal.Con.	Prot8-1	Prot9-readings	conc.	Prot9-Cal.Con.	Prot9-1	Prot10-readings	conc.	Prot10-Cal.Con.	Prot10-1
V2010001B2 1:50000	9420.0	-	0.3383582252625792	16917.91126312896	14281.0	-	0.8786967984881595	43934.83992440798	418.0	-	nan	nan	4945.0	-	0.2636149786295676	13180.748931478382	7771.0	-	0.36060485261018904	18030.242630509452	42844.0	-	1.7719465995291173	88597.32997645586	45598.0	-	1.613479610716619	80673.98053583095	6202.0	-	0.29446345626110093	14723.172813055047	9182.0	-	0.32783640777303363	16391.820388651682	46911.0	-	1.823539646241359	91176.98231206795
V2010001B2 1:100000	1072.0	-	0.03462215497083699	3462.215497083699	1718.0	-	0.12102401774107276	12102.401774107275	192.0	-	nan	nan	595.0	-	0.028094604811411544	2809.4604811411546	869.0	-	0.036443222578949476	3644.3222578949476	4402.0	-	0.2065451657321069	20654.51657321069	4799.0	-	0.20092950371292814	20092.950371292813	670.0	-	0.03245219154792178	3245.2191547921784	991.0	-	0.03714593544521998	3714.5935445219975	5042.0	-	0.22389325366662763	22389.325366662764
V2120031B1 1:100000	2430.0	-	0.08395268660737752	8395.268660737753	5272.0	-	0.3511332920484671	35113.32920484671	372.0	-	nan	nan	2224.0	-	0.11911105953021375	11911.105953021375	2695.0	-	0.12638383936006467	12638.383936006467	11214.0	-	0.5131006578843583	51310.06578843583	9209.0	-	0.3714096318943661	37140.96318943661	2167.0	-	0.114209494830958	11420.949483095801	1764.0	-	0.06630145066804757	6630.145066804757	12986.0	-	0.5484157803025963	54841.57803025963
V2010004B2 1:50000	39238.0	-	1.426270369065465	71313.51845327325	36989.0	-	2.0922850607576504	104614.25303788252	2350.0	-	0.11478178634802803	5739.089317401402	19934.0	-	1.0140191766597408	50700.95883298704	29911.0	-	1.311784224445045	65589.21122225226	96419.0	-	3.705261833103096	185263.0916551548	103962.0	-	3.4481181954766806	172405.90977383402	26615.0	-	1.0247747952608157	51238.73976304079	34028.0	-	1.2229185897499368	61145.92948749684	99248.0	-	3.6691497169986182	183457.4858499309
V2010004B2 1:100000	3973.0	-	0.1400600559058093	14006.005590580931	4344.0	-	0.29318440433032633	29318.440433032632	365.0	-	nan	nan	2146.0	-	0.11486913060648517	11486.913060648516	3050.0	-	0.143305760628506	14330.5760628506	9630.0	-	0.4441942519222905	44419.42519222905	10685.0	-	0.4263432980785455	42634.32980785455	2573.0	-	0.13407101255216472	13407.101255216472	3797.0	-	0.13980416834656895	13980.416834656895	9811.0	-	0.42119787490878907	42119.78749087891
V2120031B2 1:50000	67215.0	-	2.4488183143507554	122440.91571753776	90952.0	-	4.740961001164212	237048.05005821062	2189.0	-	0.10565331858934883	5282.665929467442	48580.0	-	2.377462368782893	118873.11843914466	72117.0	-	3.023876414469923	151193.82072349614	224199.0	-	7.955251651355133	397762.58256775665	221402.0	-	7.047335240640945	352366.76203204726	56241.0	-	1.9274804280091835	96374.02140045917	57682.0	-	2.2061986976445787	110309.93488222893	252310.0	-	8.780299002482664	439014.9501241332
V2120031B2 1:100000	7081.0	-	0.2531740773484388	25317.407734843877	11030.0	-	0.6936270689609224	69362.70689609225	361.0	-	nan	nan	5079.0	-	0.2706037444863969	27060.37444863969	7426.0	-	0.3450646526374158	34506.46526374158	24160.0	-	1.048206921084104	104820.69210841041	23337.0	-	0.8742968022955975	87429.68022955974	5149.0	-	0.2501833186252437	25018.331862524366	5790.0	-	0.20995075750120953	20995.075750120952	26135.0	-	1.0560611576893006	105606.11576893006
P.Control1.1	14912.0	-	0.5385015513599879	0.5385015513599879	20130.0	-	1.2022043978528993	1.2022043978528993	374593.0	-	15.883689631172311	15.883689631172311	8500.0	-	0.4464748006444162	0.4464748006444162	15161.0	-	0.6861569302119985	0.6861569302119985	129699.0	-	4.847642578376028	4.847642578376028	99144.0	-	3.299352392570277	3.299352392570277	10026.0	-	0.4461722314049777	0.4461722314049777	14855.0	-	0.5249101277730038	0.5249101277730038	199706.0	-	7.05275809656667	7.05275809656667
V2010002B2 1:50000	36507.0	-	1.3265291692153762	66326.45846076882	67257.0	-	3.603453942714334	180172.6971357167	327.0	-	nan	nan	26286.0	-	1.3216308510093322	66081.5425504666	38360.0	-	1.661640251314566	83082.0125657283	149790.0	-	5.52293026305492	276146.51315274596	115280.0	-	3.796606311077669	189830.31555388347	28924.0	-	1.0995165587652775	54975.82793826388	32014.0	-	1.146237214240921	57311.86071204605	151193.0	-	5.436306308673559	271815.3154336779
V2010002B2 1:100000	4011.0	-	0.14144234588268503	14144.234588268504	7970.0	-	0.5145867173180764	51458.67173180763	164.0	-	nan	nan	2981.0	-	0.1599204026175296	15992.04026175296	4050.0	-	0.19038655937159396	19038.655937159398	16327.0	-	0.729416421524597	72941.6421524597	12928.0	-	0.5084105002902392	50841.050029023914	3174.0	-	0.16248466441793621	16248.466441793622	3262.0	-	0.12073114521766826	12073.114521766825	16495.0	-	0.6864493628892239	68644.93628892238
V2120003B1 1:50000	11799.0	-	0.42503595634510277	21251.797817255137	18294.0	-	1.1017523309929653	55087.616549648264	155.0	-	nan	nan	7199.0	-	0.38009918514513663	19004.959257256833	12512.0	-	0.5708041547180316	28540.20773590158	46082.0	-	1.8937325699563257	94686.62849781629	30861.0	-	1.1289176587344114	56445.88293672057	6696.0	-	0.31479049640856505	15739.524820428252	11564.0	-	0.4103978096630539	20519.890483152696	45553.0	-	1.7742333516475983	88711.66758237992
V2120003B1 1:100000	1419.0	-	0.04722061957275338	4722.061957275338	1979.0	-	0.1389362200617063	13893.62200617063	160.0	-	nan	nan	828.0	-	0.04157386665886954	4157.386665886955	1423.0	-	0.06444393498009232	6444.393498009232	5073.0	-	0.2382621296290443	23826.212962904432	3379.0	-	0.1428757212889449	14287.572128894491	773.0	-	0.03886050489672414	3886.050489672414	1300.0	-	0.04893860159948505	4893.860159948505	4705.0	-	0.20953612944392813	20953.612944392815
P.Control1.2	7618.0	-	0.2727274497518747	0.2727274497518747	10985.0	-	0.6910319656747118	0.6910319656747118	151225.0	-	6.759820142820039	6.759820142820039	4134.0	-	0.22110597737346857	0.22110597737346857	7265.0	-	0.33779856816237824	0.33779856816237824	48352.0	-	1.9786043639166688	1.9786043639166688	41234.0	-	1.471519566201701	1.471519566201701	4867.0	-	0.23807453844196508	0.23807453844196508	7130.0	-	0.25664434588016294	0.25664434588016294	82829.0	-	3.099357703518716	3.099357703518716
V2002012B2 1:50000	32040.0	-	1.1634207730411756	58171.038652058785	37525.0	-	2.1198483734411857	105992.41867205928	259.0	-	nan	nan	21978.0	-	1.1134555892162248	55672.77946081124	34955.0	-	1.5212200832402123	76061.00416201062	110057.0	-	4.177443630148682	208872.18150743408	102868.0	-	3.4143630313444078	170718.1515672204	24151.0	-	0.9438432449760672	47192.16224880336	26346.0	-	0.9351803087884428	46759.01543942214	108571.0	-	3.989913833172488	199495.6916586244
V2002012B2 1:100000	3431.0	-	0.12034666446717603	12034.666446717603	4462.0	-	0.3006148266590264	30061.48266590264	174.0	-	nan	nan	2171.0	-	0.11622957497410746	11622.957497410747	3493.0	-	0.1642598749131065	16425.98749131065	11452.0	-	0.5233644343094642	52336.44343094642	10211.0	-	0.40879073833529384	40879.073833529386	2498.0	-	0.13044710488754394	13044.710488754394	2835.0	-	0.10539620980220396	10539.620980220396	12776.0	-	0.5400767512426525	54007.67512426525
V2120041B1 1:50000	19837.0	-	0.7180962350982265	35904.81175491132	50844.0	-	2.7942906341009457	139714.5317050473	674.0	-	0.014958737648230549	747.9368824115274	13601.0	-	0.7025239962735881	35126.199813679406	20435.0	-	0.9126254556117045	45631.27278058523	111183.0	-	4.216162553429634	210808.12767148172	92419.0	-	3.0911941167285746	154559.70583642874	15044.0	-	0.631341270407841	31567.063520392054	18988.0	-	0.6702284714581934	33511.42357290967	110149.0	-	4.0440277416881525	202201.38708440762
V2120041B1 1:100000	2027.0	-	0.0693069714522908	6930.69714522908	5508.0	-	0.3657060103911957	36570.601039119574	232.0	-	nan	nan	1373.0	-	0.07233425451658307	7233.425451658307	2153.0	-	0.10028023068277145	10028.023068277145	11597.0	-	0.5296068747040553	52960.68747040553	10105.0	-	0.4048544028570075	40485.44028570075	1646.0	-	0.0876784021081159	8767.84021081159	2127.0	-	0.07967713737945721	7967.713737945721	11613.0	-	0.49371198195883875	49371.19819588387
P.Control1.3	2433.0	-	0.08406172743747357	0.08406172743747357	2947.0	-	0.20352065455411333	0.20352065455411333	82460.0	-	3.8276682324127678	3.8276682324127678	1305.0	-	0.0685396919176344	0.0685396919176344	2396.0	-	0.11202755536592103	0.11202755536592103	15106.0	-	0.6784780969685057	0.6784780969685057	12002.0	-	0.47471631849363366	0.47471631849363366	1553.0	-	0.08278770093100009	0.08278770093100009	2333.0	-	0.08720486021129714	0.08720486021129714	17341.0	-	0.7193984983907653	0.7193984983907653
